Class,BLEU4_Mean,BLEU4_Std,Sample_Count,Accuracy,F1_Score,Precision,Recall
car_wheel,0.36895962199737425,0.2680042226522445,30,1.0,1.0,1.0,1.0
banana,0.247055757826641,0.27021148549699686,30,1.0,0.9836065573770492,0.967741935483871,1.0
bikini,0.3694464774622751,0.37588259883090586,30,1.0,0.9836065573770492,0.967741935483871,1.0
bullfrog,0.2776227573259627,0.33774153528252815,30,1.0,0.9836065573770492,0.967741935483871,1.0
african_grey,0.346127970116528,0.3969174807239079,30,1.0,0.9836065573770492,0.967741935483871,1.0
arctic_fox,0.25280256204763224,0.2034926649584491,30,1.0,0.9836065573770492,0.967741935483871,1.0
brown_bear,0.2829005829755872,0.25516613615374534,30,1.0,0.9836065573770492,0.967741935483871,1.0
artichoke,0.37315563494935716,0.3707541363128807,30,1.0,0.9836065573770492,0.967741935483871,1.0
airliner,0.31759394639453453,0.3920174902576202,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
anemone_fish,0.25884518710438525,0.26540285694162696,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
american_coot,0.1977120974037348,0.1381520302449437,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
alps,0.17878854273781267,0.2661067629628495,30,1.0,0.967741935483871,0.9375,1.0
bobsled,0.35004878751193286,0.35638009110489144,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
barracouta,0.3763058685111585,0.3746684356584929,30,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333
airedale,0.11467471778756481,0.21397371168551277,30,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333
bubble,0.23633135753079998,0.24741636189906588,30,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333
american_black_bear,0.25210544247652267,0.22802255659737125,30,1.0,0.9523809523809523,0.9090909090909091,1.0
admiral,0.08780955425356712,0.12755450505994026,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
african_crocodile,0.13974928667414904,0.2132810951708693,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
bullet_train,0.23781158450970777,0.2326204684947101,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
basketball,0.16633083967449278,0.21700096877504563,30,0.9333333333333333,0.9491525423728814,0.9655172413793104,0.9333333333333333
american_staffordshire_terrier,0.1521188156858998,0.13898826289018243,30,0.9,0.9473684210526315,1.0,0.9
ambulance,0.2843733351327961,0.39624816095134824,30,0.9666666666666667,0.9354838709677419,0.90625,0.9666666666666667
beaker,0.5273786125339982,0.410940492422413,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
african_elephant,0.1643438141700225,0.2056671649459429,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
airship,0.1743399684480088,0.2925277243591207,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
bald_eagle,0.38122090635019357,0.31465213760253713,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
balloon,0.40926752448180953,0.40507519162769257,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
albatross,0.27335304564505586,0.3764891278973378,30,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
beacon,0.3794587020386525,0.3774784962207976,30,0.9,0.9310344827586207,0.9642857142857143,0.9
binoculars,0.08287208686498458,0.1685000319914246,30,0.9,0.9310344827586207,0.9642857142857143,0.9
birdhouse,0.1992498415204909,0.1778658263931419,30,0.9666666666666667,0.9206349206349206,0.8787878787878788,0.9666666666666667
agama,0.15261119087761366,0.19765995268333594,30,0.9333333333333333,0.9180327868852459,0.9032258064516129,0.9333333333333333
arabian_camel,0.25032458627958576,0.20148174848182776,30,0.9333333333333333,0.9180327868852459,0.9032258064516129,0.9333333333333333
bagel,0.2532514147490189,0.34130553094139976,30,0.9,0.9152542372881356,0.9310344827586207,0.9
black_and_gold_garden_spider,0.38337545134152134,0.19409926657639467,30,0.8666666666666667,0.9122807017543859,0.9629629629629629,0.8666666666666667
agaric,0.1614215323716834,0.26289069410335025,30,0.8666666666666667,0.9122807017543859,0.9629629629629629,0.8666666666666667
american_chameleon,0.23451396783338258,0.2958462293457639,30,0.8666666666666667,0.9122807017543859,0.9629629629629629,0.8666666666666667
bolete,0.23210040546715482,0.21738599599788905,30,0.9333333333333333,0.9032258064516129,0.875,0.9333333333333333
bathtub,0.16107991575413003,0.19516263970569356,30,0.8666666666666667,0.896551724137931,0.9285714285714286,0.8666666666666667
candle,0.14576120825397063,0.16399485635675626,30,0.8,0.8888888888888888,1.0,0.8
american_lobster,0.2565971095509077,0.33340367625705053,30,0.9333333333333333,0.8888888888888888,0.8484848484848485,0.9333333333333333
carpenter_s_kit,0.370060924277322,0.2996792332405129,30,0.9,0.8852459016393442,0.8709677419354839,0.9
barrel,0.12908045720170042,0.21139485344785816,30,0.8666666666666667,0.8813559322033898,0.896551724137931,0.8666666666666667
alligator_lizard,0.21410900634204758,0.2736895364015244,30,0.8666666666666667,0.8813559322033898,0.896551724137931,0.8666666666666667
african_chameleon,0.1519728877913034,0.21992134126425217,30,0.9,0.8571428571428571,0.8181818181818182,0.9
breastplate,0.2209854532224541,0.2998755513951436,30,0.8,0.8571428571428571,0.9230769230769231,0.8
backpack,0.09655219317991603,0.13072598274952874,30,0.9,0.8571428571428571,0.8181818181818182,0.9
cassette,0.3148006944567451,0.34739397499068553,30,0.9666666666666667,0.8529411764705882,0.7631578947368421,0.9666666666666667
bulletproof_vest,0.3527461779268347,0.33582763428409107,30,0.8333333333333334,0.847457627118644,0.8620689655172413,0.8333333333333334
bow,0.1594263169674179,0.21524429238726442,30,0.8333333333333334,0.847457627118644,0.8620689655172413,0.8333333333333334
analog_clock,0.19215597361762266,0.26597440299771397,30,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
spider,0.3781262954255797,0.3373929699263083,30,0.8,0.8275862068965517,0.8571428571428571,0.8
bucket,0.19723735031807063,0.2907363302782395,30,0.8333333333333334,0.7936507936507936,0.7575757575757576,0.8333333333333334
assault_rifle,0.24262359130203023,0.28603481831769345,30,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667
ant,0.31094531093327665,0.3419226912529047,30,0.8333333333333334,0.5434782608695652,0.4032258064516129,0.8333333333333334
bee,0.2180212060761896,0.3011558967148184,30,0.9,0.45,0.3,0.9
beer_bottle,0.3399566453699814,0.23497766804876397,30,0.0,0.0,0.0,0.0
cannon,0.4345626628216984,0.3882739266372318,30,0.0,0.0,0.0,0.0
beer_glass,0.3141924847079135,0.30362109716974,30,0.0,0.0,0.0,0.0
