Class,BLEU4_Mean,BLEU4_Std,Sample_Count,Accuracy,F1_Score,Precision,Recall
brown_bear,0.3493233402823179,0.3143240429286616,30,1.0,1.0,1.0,1.0
american_coot,0.19551649385233144,0.1375773660260265,30,1.0,0.9836065573770492,0.967741935483871,1.0
bullfrog,0.35188146364899714,0.3771809373428954,30,1.0,0.9836065573770492,0.967741935483871,1.0
american_black_bear,0.29576714484975064,0.2696836747402054,30,1.0,0.9836065573770492,0.967741935483871,1.0
car_wheel,0.31375251197035237,0.2564422650780589,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
airedale,0.18950572939006186,0.28973026857129136,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
barracouta,0.3776367687271604,0.3734536688802993,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
artichoke,0.35682877999964574,0.3633970150652089,30,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667
arctic_fox,0.25280256204763224,0.2034926649584491,30,1.0,0.967741935483871,0.9375,1.0
beacon,0.3161444220306754,0.33768486945416387,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
basketball,0.19435232551335616,0.24965666693517283,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
analog_clock,0.24142902771875682,0.3121987742363318,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
american_staffordshire_terrier,0.18633460008727554,0.21764798439154273,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
admiral,0.17935157441425784,0.2673767180937245,30,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333
african_elephant,0.1947376285140016,0.24447185173648214,30,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333
birdhouse,0.1384629979673633,0.15272915637624204,30,0.9333333333333333,0.9655172413793104,1.0,0.9333333333333333
banana,0.1884766407622775,0.22665809228230027,30,1.0,0.9523809523809523,0.9090909090909091,1.0
albatross,0.26531538618387956,0.3777306055666336,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
ambulance,0.29707846424006,0.3991445333247937,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
anemone_fish,0.3109050384044016,0.24591373686577986,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
agama,0.15727758890412574,0.2263385700603776,30,0.9666666666666667,0.9508196721311475,0.9354838709677419,0.9666666666666667
