image_path,gt_class,pred_class,gt_caption,pred_caption,bleu4
admiral/006.jpg,admiral,admiral,the admiral shows intricate orange contrasting over dark black wing planes.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.11530568323789493
admiral/032.jpg,admiral,admiral,the admiral exhibits symmetrical forms framed with layered prints.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.03986357128268015
admiral/039.jpg,admiral,admiral,an admiral featuring bold orange patterns layered over smooth black wing surfaces.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.039073802494525016
admiral/040.jpg,admiral,admiral,an admiral featuring fiery orange stripes framed by matte black wings.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.022416933501922302
admiral/065.jpg,admiral,admiral,an admiral characterized by luminous orange markings and dense black pigmentation.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.04131551591106297
admiral/144.jpg,admiral,admiral,the admiral shows intricate orange coloration framed by matte black wings.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.09578464408619825
admiral/161.jpg,admiral,admiral,an admiral featuring fiery orange accents contrasted dark black wing pattern over canvas and glossy white wings.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.03780392729717533
admiral/174.jpg,admiral,admiral,the admiral shows vivid orange contrasting over smooth black wings.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.10025157431478134
admiral/177.jpg,admiral,admiral,an admiral featuring bold orange patterns layered over firm black wing surface.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.039073802494525016
admiral/188.jpg,admiral,admiral,the admiral shows vivid orange patterns layered over smooth black wing surfaces.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.020448007360218394
admiral/211.jpg,admiral,admiral,an admiral with striking chromatic contrast between fiery orange and inky black areas.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.912167909070388
admiral/228.jpg,admiral,admiral,the admiral shows bold orange patterns layered over velvety black wing surfaces.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.020448007360218394
admiral/230.jpg,admiral,admiral,an admiral with striking chromatic contrast between fiery orange and inky black areas.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.02062457446156057
admiral/239.jpg,admiral,admiral,an admiral featuring vivid orange bands contrasting dark brown spots over firm white wings.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.018975524537465382
admiral/289.jpg,admiral,admiral,an admiral featuring vivid orange bands contrasted against deep black wings.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.039073802494525016
admiral/292.jpg,admiral,admiral,the admiral shows intense orange contrast between black and white wings.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.04324227075463215
admiral/302.jpg,admiral,admiral,the admiral shows bold orange patterning over velvety black wing surfaces.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.53107253497887
admiral/306.jpg,admiral,admiral,an admiral featuring contrasting orange and black coloration over mixed black wing surfaces.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.04913270548144422
admiral/325.jpg,admiral,admiral,the admiral presents intricate orange coloration framed by glossy black wings.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.020448007360218394
admiral/330.jpg,admiral,admiral,the admiral exhibits symmetrical orange highlights framed by glossy black wing markings.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.053863663688318665
admiral/333.jpg,admiral,admiral,an admiral with luminous orange markings framed by glossy black wings.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.022416933501922302
admiral/367.jpg,admiral,admiral,an admiral featuring striking orange patterns layered over velvety black wing surfaces.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.5331675363405771
admiral/379.jpg,admiral,admiral,the admiral displays high - contrast orange markings and delicate black coloration.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.023233421968350106
admiral/382.jpg,admiral,admiral,the admiral presents intricate orange patterning over velvety black wing surfaces.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.2620251007173262
admiral/385.jpg,admiral,admiral,the admiral shows bold orange patterns layered over velvety black wing surfaces.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.9036020036098448
admiral/407.jpg,admiral,admiral,the admiral exhibits expansive layered orange patterns over velvety black wing planes.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.29502343631964045
admiral/409.jpg,admiral,admiral,an admiral characterized by luminous orange highlights and dense black wing texture.,the admiral shows bold orange patterns layered over velvety black wing surfaces,0.0428361950754725
admiral/475.jpg,admiral,admiral,an admiral featuring bold orange patterns layered over smooth black wing surfaces.,a professional clear photo of admiral,0.01501861529550426
admiral/490.jpg,admiral,admiral,an admiral with striking chromatic contrast between fiery orange and dark black wings.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.7539221180326288
admiral/498.jpg,admiral,admiral,an admiral featuring a bold orange contrast over uniform black.,an admiral with striking chromatic contrast between fiery orange and inky black areas,0.039073802494525016
african_chameleon/001.jpg,african_chameleon,african_chameleon,the african chameleon exhibits articulated toes and a corrugated epidermal surface.,an african chameleon with knobby cranial contours and finely tessellated scales,0.04411629359322707
african_chameleon/012.jpg,african_chameleon,african_chameleon,an african crocodile showing cracked - texture scales and a stout prehistoric form.,the african chameleon shows a rigid casque and a textured mosaic of scales,0.039073802494525016
african_chameleon/033.jpg,african_chameleon,african_chameleon,the african chameleon shows rough - scaled skin with irregular ridges and a compressed body shape.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.03245439843740632
african_chameleon/072.jpg,african_chameleon,african_chameleon,an african chameleon with irregular skin geometry and caridily defined body mass.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.23462350320528
african_chameleon/075.jpg,african_chameleon,african_chameleon,the african chameleon shows a rigid casque and a textured mosaic of scales.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.03667625610580776
african_chameleon/078.jpg,african_chameleon,african_chameleon,the american chameleon displays fine - grain scales and a curved body shape.,an african chameleon with knobby cranial contours and finely tessellated scales,0.02068408840048898
african_chameleon/082.jpg,african_chameleon,african_chameleon,the african chameleon displays leathery skin and a laterally flattened silhouette.,the african chameleon shows a rigid casque and a textured mosaic of scales,0.09669265690880861
african_chameleon/092.jpg,african_chameleon,african_chameleon,the african chameleon presents a complex skin layer with raised nodules and folds.,the african chameleon shows a rigid casque and a textured mosaic of scales,0.08737167851715875
african_chameleon/109.jpg,african_chameleon,african_chameleon,the african chameleon displays leathery skin and a laterally flattened silhouette.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.0428361950754725
african_chameleon/121.jpg,african_chameleon,african_chameleon,an african chameleon featuring polygonal scales and a prehensile tail structure.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.09058752341587764
african_chameleon/122.jpg,african_chameleon,african_chameleon,the african chameleon displays leathery skin and a laterally flattened silhouette.,the african chameleon shows a rigid casque and a textured mosaic of scales,0.09669265690880861
african_chameleon/144.jpg,african_chameleon,african_chameleon,an african chameleon with granular skin texture and independently bulging turreted eyes.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.9036020036098448
african_chameleon/148.jpg,african_chameleon,african_chameleon,the african chameleon exhibits articulated toes and a corrugated epidermal surface.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.03986357128268015
african_chameleon/153.jpg,african_chameleon,african_chameleon,an african chameleon featuring polygonal scales and a prehensile tail structure.,the african chameleon shows a rigid casque and a textured mosaic of scales,0.04913270548144422
african_chameleon/164.jpg,african_chameleon,african_chameleon,an african chameleon characterized by scaly armor - like skin and protruding ocular domes.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.08107995074411864
african_chameleon/166.jpg,african_chameleon,african_chameleon,a professional clear photo of african chameleon.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.017033186037639283
african_chameleon/171.jpg,african_chameleon,african_chameleon,the african chameleon displays leathery skin and a laterally flattened silhouette.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.0428361950754725
african_chameleon/172.jpg,african_chameleon,african_chameleon,an african chameleon featuring polygonal scales and a prehensile tail structure.,the african chameleon shows a rigid casque and a textured mosaic of scales,0.04913270548144422
african_chameleon/178.jpg,african_chameleon,african_chameleon,the african chameleon presents a complex skin with rigid scale segmentation.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.0428361950754725
african_chameleon/196.jpg,african_chameleon,african_chameleon,an african chameleon with granular skin texture and independently bulging turreted eyes.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.9036020036098448
african_chameleon/200.jpg,african_chameleon,african_chameleon,the african chameleon displays leathery skin and a laterally flattened silhouette.,the african chameleon shows a rigid casque and a textured mosaic of scales,0.09669265690880861
african_chameleon/217.jpg,african_chameleon,african_chameleon,an african chameleon featuring polygonal scales and a prehensile tail structure.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.09058752341587764
african_chameleon/241.jpg,african_chameleon,african_chameleon,an african chameleon with granular skin texture and pronounced dorsal ridges.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.6132297420585351
african_chameleon/245.jpg,african_chameleon,african_chameleon,the african chameleon exhibits articulated toes and a corrugated epidermal surface.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.03986357128268015
african_chameleon/255.jpg,african_chameleon,african_chameleon,a professional clear photo of african chameleon.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.017033186037639283
african_chameleon/257.jpg,african_chameleon,african_chameleon,the african chameleon exhibits articulated toes and a corrugated epidermal surface.,the african chameleon shows a rigid casque and a textured mosaic of scales,0.09669265690880861
african_chameleon/267.jpg,african_chameleon,african_chameleon,an african chameleon with knobby cranial contours and finely tessellated scales.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.22416933501922293
african_chameleon/306.jpg,african_chameleon,african_chameleon,an african chameleon characterized by scaly armor - like skin and protruding ocular domes.,the african chameleon shows a rigid casque and a textured mosaic of scales,0.03367004718165569
african_chameleon/333.jpg,african_chameleon,american_chameleon,the african chameleon shows a rigid form and dense skin texture.,the american chameleon shows complex epidermal texture and reptilian structure,0.04802616576551228
african_chameleon/357.jpg,african_chameleon,african_chameleon,an african chameleon with granular skin texture and protruding ocular eyes.,an african chameleon with granular skin texture and independently bulging turreted eyes,0.6132297420585351
african_crocodile/003.jpg,african_crocodile,african_crocodile,an african crocodile characterized by rough pebbled skin and angular facial contours.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.09058752341587764
african_crocodile/023.jpg,african_crocodile,african_crocodile,an african crocodile showing cracked - texture scales and a stout prehistoric form.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.09752759118141047
african_crocodile/035.jpg,african_crocodile,african_crocodile,the african crocodile has a dense leathery hide with raised armor - like formations.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.03834034153732051
african_crocodile/063.jpg,african_crocodile,african_crocodile,the african crocodile has a dense leathery hide with raised armor - like formations.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.03834034153732051
african_crocodile/071.jpg,african_crocodile,african_crocodile,an african crocodile showing cracked - texture scales and a stout prehistoric form.,the african crocodile exhibits a massive body covered in irregular bony scutes,0.03667625610580776
african_crocodile/072.jpg,african_crocodile,african_crocodile,an african crocodile featuring thick keratinized scales and a muscular tail.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.10600313379512592
african_crocodile/086.jpg,african_crocodile,african_crocodile,an african crocodile showing cracked - texture scales and a stout prehistoric form.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.09752759118141047
african_crocodile/099.jpg,african_crocodile,african_crocodile,an african crocodile showing cracked - texture scales and a stout prehistoric form.,the african crocodile shows asymmetrical scale patterns and a broad jawline,0.04700332363672268
african_crocodile/103.jpg,african_crocodile,african_crocodile,a professional clear photo of african crocodile.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.020255986027125642
african_crocodile/123.jpg,african_crocodile,african_crocodile,an african crocodile showing cracked - texture scales and a stout prehistoric form.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.09752759118141047
african_crocodile/145.jpg,african_crocodile,african_crocodile,an african crocodile featuring thick keratinized scales and a muscular tail.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.10600313379512592
african_crocodile/146.jpg,african_crocodile,african_crocodile,an african crocodile with deeply grooved skin texture and prominent dorsal ridges.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.22416933501922293
african_crocodile/162.jpg,african_crocodile,african_crocodile,the african crocodile has a dense leathery hide with raised armor - like formations.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.03834034153732051
african_crocodile/179.jpg,african_crocodile,african_crocodile,an african crocodile showing cracked - texture scales and a stout prehistoric form.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.09752759118141047
african_crocodile/180.jpg,african_crocodile,african_crocodile,an african crocodile with rugged osteoderm plates and a heavily armored hide.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.9036020036098448
african_crocodile/214.jpg,african_crocodile,african_crocodile,an african crocodile featuring thick keratinized scales and a muscular tail.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.10600313379512592
african_crocodile/218.jpg,african_crocodile,african_crocodile,the african crocodile shows asymmetrical scale patterns and a broad jawline.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.05094110796339642
african_crocodile/259.jpg,african_crocodile,african_crocodile,an african crocodile showing cracked - texture scales and a stout prehistoric form.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.09752759118141047
african_crocodile/269.jpg,african_crocodile,african_crocodile,an african crocodile featuring thick keratinized scales and a muscular tail.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.10600313379512592
african_crocodile/270.jpg,african_crocodile,african_crocodile,an african crocodile with deeply grooved skin texture and a bold head contrast.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.23196101068401995
african_crocodile/305.jpg,african_crocodile,african_crocodile,a professional clear photo of african crocodile.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.020255986027125642
african_crocodile/316.jpg,african_crocodile,african_crocodile,the african crocodile shows asymmetrical scale patterns and a broad jawline.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.05094110796339642
african_crocodile/358.jpg,african_crocodile,african_crocodile,an african crocodile featuring thick keratinized scales and a muscular tail.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.10600313379512592
african_crocodile/361.jpg,african_crocodile,african_crocodile,an african crocodile with rugged osteoderm plates and a heavily armored hide.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.9036020036098448
african_crocodile/373.jpg,african_crocodile,african_crocodile,an african crocodile showing cracked - texture scales and a stout prehistoric form.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.09752759118141047
african_crocodile/378.jpg,african_crocodile,african_crocodile,an african crocodile with rugged osteoderm plates and a heavily armored hide.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.9036020036098448
african_crocodile/389.jpg,african_crocodile,african_crocodile,the african crocodile has a dense leathery hide with raised armor - like formations.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.03834034153732051
african_crocodile/419.jpg,african_crocodile,african_crocodile,an african crocodile featuring thick keratinized scales and a muscular tail.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.10600313379512592
african_crocodile/496.jpg,african_crocodile,african_crocodile,the african crocodile displays coarse skin texture and a powerful elongated snout.,an african crocodile with rugged osteoderm plates and a heavily armored hide,0.05094110796339642
african_crocodile/519.jpg,african_crocodile,african_crocodile,an african crocodile showing cracked - texture scales and a stout prehistoric form.,the african crocodile shows asymmetrical scale patterns and a broad jawline,0.04700332363672268
african_elephant/006.jpg,african_elephant,african_elephant,an african elephant featuring a dusty gray hues and heavy wrog.,an african elephant with dusty gray coloration and pronounced skin layer,0.12278260149096115
